Timestamp,Reads,Writes,ReadRatio,State,MigrationTriggered
1776576744989977725,101,1005050,0.000100482,WRITE_HEAVY,NO
1776576746990354173,95,4750,0.0196078,WRITE_HEAVY,NO
1776576748990535340,118,5900,0.0196078,WRITE_HEAVY,NO
1776576750990755698,128,6400,0.0196078,WRITE_HEAVY,NO
1776576752991024138,113,5650,0.0196078,WRITE_HEAVY,NO
1776576754991362340,109,5450,0.0196078,WRITE_HEAVY,NO
1776576756991685554,126,6300,0.0196078,WRITE_HEAVY,NO
1776576758991913190,115,5750,0.0196078,WRITE_HEAVY,NO
1776576760992237185,93,4650,0.0196078,WRITE_HEAVY,NO
1776576762992497392,123,6150,0.0196078,WRITE_HEAVY,NO
1776576764992721973,122,6100,0.0196078,WRITE_HEAVY,NO
1776576766993061510,112,5600,0.0196078,WRITE_HEAVY,NO
1776576768993295516,134,6700,0.0196078,WRITE_HEAVY,NO
1776576987873022208,118,3750,0.0305067,WRITE_HEAVY,NO
